filename,color
ASL,#886e8a
Carnegie,#886e8a
CNSN (USGS),#886e8a
"ERI, U. Tokyo",#886e8a
GNS,#886e8a
ICGC,#886e8a
"IES, U. Iceland",#886e8a
JMA,#886e8a
LBSN,#886e8a
Romania,#886e8a
SCSN,#886e8a
Single Stations,#886e8a
UNAM,#886e8a
WWSSN,#886e8a
